Order_ID,Order_Date,Ship_Date,Sales_Channel,Warehouse_Code,Region,State,City,Customer_Name,Customer_Segment,Product_Category,Product_Name,Unit_Price,Unit_Cost,Quantity,Total_Revenue,Total_Cost,Profit,Discount_Percent,Sales_Rep
SO-10001,2022-08-17,2022-08-23,Online,WARE-NBV1002,Southwest,Arizona,Phoenix,Pacific Bright Trading,Corporate,Furniture,Lounge Chair,399.99,195.0,6,2111.94,1170.0,941.94,12,Emily Johnson
SO-10002,2022-07-23,2022-07-29,Distributor,WARE-NBV1002,South,Oklahoma,Lawton,National Digital Distributors,Small Business,Electronics,Wi-Fi Mesh System,399.99,190.0,22,8095.78,4180.0,3915.78,8,David Park
SO-10003,2022-04-15,2022-04-20,Online,WARE-MCD2201,Midwest,Wisconsin,Madison,Apex Core Co,Government,Office Supplies,Binding Machine,149.99,68.0,3,427.47,204.0,223.47,5,Sarah Mitchell
SO-10004,2023-09-26,2023-10-01,Online,WARE-UHY1004,West,Washington,Everett,Metro National Co,Corporate,Furniture,Accent Table,199.99,92.0,12,2399.88,1104.0,1295.88,0,David Park
SO-10005,2022-12-30,2023-01-05,In-Store,WARE-UHY1004,Midwest,Iowa,Davenport,Core Premier Commerce,Retail,Office Supplies,Laminator,89.99,40.0,16,1439.84,640.0,799.84,0,David Park
SO-10006,2022-08-23,2022-08-30,Distributor,WARE-UHY1004,Midwest,Kansas,Overland Park,Advanced Pacific Group,Retail,Furniture,Conference Table,999.99,520.0,3,2759.97,1560.0,1199.97,8,David Park
SO-10007,2022-09-10,2022-09-15,Distributor,WARE-UHY1004,Southwest,Hawaii,Hilo,Central Bright Trading,Small Business,Furniture,Glass Desk,799.99,400.0,18,12239.82,7200.0,5039.82,15,Kevin Williams
SO-10008,2023-10-05,2023-10-11,Wholesale,WARE-ATL5509,West,Washington,Seattle,Core Pacific Trading,Retail,Electronics,Wireless Headphones,249.99,99.0,6,1379.94,594.0,785.94,8,Kevin Williams
SO-10009,2023-07-04,2023-07-10,In-Store,WARE-MCD2201,Midwest,Kansas,Wichita,Atlantic Sterling Trading,Corporate,Electronics,Laptop Cooling Pad,49.99,19.0,10,474.9,190.0,284.9,5,Michael Brown
SO-10010,2022-11-02,2022-11-08,Online,WARE-ATL5509,Southeast,Kentucky,Lexington,Apex Premier Commerce,Enterprise,Electronics,Smartband,199.99,88.0,35,6999.65,3080.0,3919.65,0,Amanda Torres
SO-10011,2022-03-01,2022-03-08,In-Store,WARE-UHY1004,Northeast,Massachusetts,Springfield,Pacific Horizon LLC,Retail,Furniture,Lounge Chair,399.99,195.0,8,3199.92,1560.0,1639.92,0,Kevin Williams
SO-10012,2023-07-07,2023-07-13,Wholesale,WARE-NBV1002,South,Louisiana,Lake Charles,Apex Digital Commerce,Small Business,Clothing,Denim Jacket,89.99,38.0,8,662.32,304.0,358.32,8,Emily Johnson
SO-10013,2022-08-14,2022-08-17,Distributor,WARE-NBV1002,Northeast,Rhode Island,Providence,National Pacific Inc,Government,Office Supplies,Label Maker,59.99,24.0,2,119.98,48.0,71.98,0,Emily Johnson
SO-10014,2023-08-08,2023-08-13,Online,WARE-MCD2201,Midwest,Iowa,Cedar Rapids,Central Elite LLC,Enterprise,Office Supplies,Letter Opener,14.99,5.0,20,269.8,100.0,169.8,10,David Park
SO-10015,2023-02-17,2023-02-24,Wholesale,WARE-UHY1004,West,New Mexico,Albuquerque,National Elite Group,Retail,Electronics,MacBook Pro 16,2499.99,1650.0,11,27499.89,18150.0,9349.89,0,Robert Adams
SO-10016,2023-07-18,2023-07-21,In-Store,WARE-MCD2201,Midwest,Iowa,Cedar Rapids,Global Pacific Group,Retail,Electronics,Smart Thermostat,249.99,115.0,5,1099.95,575.0,524.95,12,Amanda Torres
SO-10017,2022-01-03,2022-01-07,Wholesale,WARE-UHY1004,South,Mississippi,Jackson,Sterling Central Supply,Small Business,Office Supplies,Electric Stapler,49.99,19.0,13,584.87,247.0,337.87,10,Michael Brown
SO-10018,2022-02-21,2022-02-26,Online,WARE-UHY1004,South,Texas,Houston,Premier Metro Commerce,Corporate,Furniture,Conference Table,999.99,520.0,16,14079.84,8320.0,5759.84,12,Rachel Scott
SO-10019,2022-09-10,2022-09-16,Distributor,WARE-PJW3508,Northeast,Pennsylvania,Erie,Bright Bright Commerce,Small Business,Electronics,NAS Storage,899.99,450.0,2,1655.98,900.0,755.98,8,Lisa Chen
SO-10020,2023-10-23,2023-10-28,Online,WARE-NBV1002,South,Louisiana,Lafayette,Global Digital Distributors,Government,Office Supplies,Ergonomic Mouse,59.99,24.0,10,599.9,240.0,359.9,0,Emily Johnson
SO-10021,2022-09-08,2022-09-12,Online,WARE-ATL5509,Southeast,Maryland,Frederick,Swift Sterling Distributors,Enterprise,Furniture,Executive Desk,1199.99,620.0,12,12959.88,7440.0,5519.88,10,Sarah Mitchell
SO-10022,2023-07-21,2023-07-25,Distributor,WARE-ATL5509,South,Louisiana,New Orleans,Elite Pioneer Group,Retail,Electronics,Webcam HD,99.99,42.0,6,509.94,252.0,257.94,15,Michael Brown
SO-10023,2022-01-04,2022-01-10,Wholesale,WARE-ATL5509,Northeast,Massachusetts,Cambridge,Premier Digital Commerce,Corporate,Furniture,Conference Table,999.99,520.0,11,10449.89,5720.0,4729.89,5,Sarah Mitchell
SO-10024,2023-08-20,2023-08-23,Online,WARE-PJW3508,Northeast,Connecticut,Waterbury,Metro Sterling Solutions,Small Business,Electronics,4K Camera,1199.99,600.0,19,22799.81,11400.0,11399.81,0,Emily Johnson
SO-10025,2024-02-07,2024-02-17,Online,WARE-UHY1004,Southwest,Arizona,Mesa,Premier Premier Trading,Enterprise,Clothing,Country Boots,119.99,52.0,5,581.95,260.0,321.95,3,David Park
SO-10026,2022-04-21,2022-04-28,Distributor,WARE-PJW3508,Southwest,Utah,Provo,National Elite Enterprises,Small Business,Office Supplies,Wireless Keyboard,89.99,38.0,13,1052.87,494.0,558.87,10,Emily Johnson
SO-10027,2022-03-13,2022-03-18,Online,WARE-NBV1002,Northeast,Pennsylvania,Erie,Coastal Swift Solutions,Enterprise,Furniture,Ergonomic Chair Pro,449.99,218.0,9,3563.91,1962.0,1601.91,12,Robert Adams
SO-10028,2023-03-21,2023-03-27,Online,WARE-MCD2201,Southeast,Maryland,Baltimore,Central Core Commerce,Government,Electronics,USB-C Hub,79.99,32.0,12,911.88,384.0,527.88,5,Emily Johnson
SO-10029,2023-06-17,2023-06-23,Distributor,WARE-ATL5509,Midwest,Illinois,Peoria,Apex Central LLC,Enterprise,Clothing,Business Casual Shirt,59.99,22.0,19,1105.61,418.0,687.61,3,Sarah Mitchell
SO-10030,2023-02-23,2023-02-28,Wholesale,WARE-MCD2201,Southwest,Colorado,Lakewood,Swift Summit Group,Small Business,Furniture,Hallway Table,279.99,132.0,11,2925.89,1452.0,1473.89,5,Rachel Scott
SO-10031,2022-10-21,2022-10-26,Wholesale,WARE-MCD2201,Southeast,Maryland,Gaithersburg,Core Pioneer Enterprises,Small Business,Electronics,Smart TV 55,799.99,400.0,7,4759.93,2800.0,1959.93,15,Kevin Williams
SO-10032,2023-11-11,2023-11-14,In-Store,WARE-NBV1002,West,Oregon,Portland,Sterling National Group,Corporate,Furniture,Partition Wall,349.99,168.0,24,8147.76,4032.0,4115.76,3,Emily Johnson
SO-10033,2023-10-07,2023-10-13,In-Store,WARE-NBV1002,West,Montana,Billings,Horizon Coastal Group,Corporate,Clothing,Holiday Sweater,69.99,28.0,7,450.73,196.0,254.73,8,David Park
SO-10034,2023-07-25,2023-08-04,Distributor,WARE-MCD2201,South,Georgia,Athens,Digital Summit Enterprises,Government,Clothing,Formal Jacket,129.99,55.0,9,1169.91,495.0,674.91,0,Kevin Williams
SO-10035,2023-05-02,2023-05-06,In-Store,WARE-PJW3508,West,Idaho,Idaho Falls,Advanced Unity Enterprises,Retail,Office Supplies,Letter Opener,14.99,5.0,15,218.1,75.0,143.1,3,Sarah Mitchell
SO-10036,2022-11-24,2022-11-27,In-Store,WARE-NBV1002,Southwest,Colorado,Colorado Springs,Coastal Summit Supply,Retail,Furniture,Office Chair,299.99,145.0,8,2327.92,1160.0,1167.92,3,David Park
